prosjektnummer,prosjekttittel,soknadsfrist,soknadsdato,utlysnings_id,utlysningsaktivitet,utlysningtittel,prosjekttype,soknadstype,soknadstypevariant,sokstart,sokslutt,prosjektfase,prosjektstart,prosjektslutt,prosjektleder_kjonn,prosjektansvarlig_type,prosjektansvarlig_navn,kortnavn,organisasjonsnummer,kp1,kp2,sektor,kategori,kommune,kommunenummer,fylke,fylkenummer,landsdel,virkemiddel_sekvens,virkemiddel,hovedaktivitet_sekvens,hovedaktivitet,aktivitet,aktivitet_kode,fagomraade,fag,fagdisiplin,dr_stip_aarsverk,postdok_aarsverk,sokt_belop,tildelt_belop,prosjektleder
107630,IFE-Haldenprosjektet (Videreført i prosjekt 247251),,1995-01-01 00:00:00,,,,Institusjonsstøtte,Annen institusjonsstøtte (t.o.m. 2019),Annen institusjonsstøtte (t.o.m. 2019) - Ingen søknadstypevariant,1995,2012,Avsluttet,1995,2014,MANN,Organisasjon,INSTITUTT FOR ENERGITEKNIKK STI,IFE,959432538,706,03,Instituttsektor,Teknisk-industrielle institutter,Lillestrøm,3205,Akershus,32,Oslo og Akershus,3,Infrastruktur og institusjonelle tiltak,13,Andre infrastrukturtiltak,Halden-prosjektet og andre nuk,IFEHANUK,Matematikk og naturvitenskap,Fysikk,Kjerne- og elementærpartikkelfysikk,0.0,0.0,75000000.0,622500000.0,Fridtjov Øwre
107631,Del av basisbevilgn. til IFE fom 2014. Slås sammen med prosjekt 194059 (basisbevilgn. til IFE) fom 2015. Tidl. Nukleæraktivitet på Kjeller.,,,,,,Institusjonsstøtte,Annen institusjonsstøtte (t.o.m. 2019),Annen institusjonsstøtte (t.o.m. 2019) - Ingen søknadstypevariant,1995,2012,Avsluttet,1995,2014,KVINNE,Organisasjon,INSTITUTT FOR ENERGITEKNIKK STI,IFE,959432538,706,03,Instituttsektor,Teknisk-industrielle institutter,Lillestrøm,3205,Akershus,32,Oslo og Akershus,3,Infrastruktur og institusjonelle tiltak,13,Andre infrastrukturtiltak,Halden-prosjektet og andre nuk,IFEHANUK,Matematikk og naturvitenskap,Fysikk,Kjerne- og elementærpartikkelfysikk,0.0,0.0,126000000.0,801500000.0,Eva S. Dugstad
107957,Grunnbevilgning - TØI,,,,,,Institusjonsstøtte,Grunnbevilgninger,Grunnbevilgninger - Ingen søknadstypevariant,1995,2014,Avsluttet,1995,2022,MANN,Organisasjon,TRANSPORTØKONOMISK INSTITUTT Stiftelsen Norsk senter for samferdselsforskning,TØI,959056773,705,26,Instituttsektor,Miljøinstitutter,Oslo,0301,Oslo,03,Oslo og Akershus,3,Infrastruktur og institusjonelle tiltak,9,Basisbevilgninger,Resultatbasert grunnbevilgning - Miljøinstitutter,RBGRUNMILJ,Samfunnsvitenskap,Samfunnsvitenskap - tverrfaglig,Tverr/flerfaglig innen samfunnsvitenskap,0.0,0.0,24300000.0,303800000.0,Bjørne Grimsrud
108202,Utgivelse av Forum for Development Studies,,1994-08-01 00:00:00,,,,Andre,Koordinerings- og støtteaktivitet,Publiseringsstøtte,1995,2011,Avsluttet,1995,2011,MANN,Organisasjon,NORSK UTENRIKSPOLITISK INSTITUTT,NUPI,970955992,702,22,Instituttsektor,Nasjonale samfunnsvitenskapelige institutter,Oslo,0301,Oslo,03,Oslo og Akershus,5,Diverse FoU-relaterte aktiviteter,18,Informasjon/formidling/publisering,Publisering/prosjektinform,PUBL,Samfunnsvitenskap,Samfunnsvitenskap - tverrfaglig,Tverr/flerfaglig samfunnsvit og andre fagområder,0.0,0.0,2820000.0,2775000.0,Knut Gunnar Nustad
110966,KLDRA Himdalen - Avfallslager (Videreført i prosjekt 247250),,,,,,Institusjonsstøtte,Institusjonsforankret strategisk prosjekt (t.o.m. 2018),Institusjonsforankret strategisk prosjekt (t.o.m. 2018) - Ingen søknadstypevariant,1996,2012,Avsluttet,1996,2014,MANN,Organisasjon,INSTITUTT FOR ENERGITEKNIKK STI,IFE,959432538,706,03,Instituttsektor,Teknisk-industrielle institutter,Lillestrøm,3205,Akershus,32,Oslo og Akershus,3,Infrastruktur og institusjonelle tiltak,13,Andre infrastrukturtiltak,KLDRA Himdalen - Avfallslager,HIMDALEN,Matematikk og naturvitenskap,Fysikk,Kjerne- og elementærpartikkelfysikk,0.0,0.0,3300000.0,99350000.0,Arve Ottar Holt
111043,Telleprogram for beregning av tallrikhet av vågehval i det nordøstlige Atlanterhavet,,1995-06-15 00:00:00,,,,Prosjektstøtte,Ingen søknadstype,Ingen søknadstypevariant,1996,2006,Avsluttet,1996,2013,MANN,Organisasjon,HAVFORSKNINGSINSTITUTTET,HI,971349077,701,16,Instituttsektor,Primærnæringsinstitutter,Bergen,4601,Vestland,46,Vestlandet,1,Programmer,3,Handlingsrettede programmer,Havet og kysten,HAVKYST,Landbruks- og fiskerifag,Fiskerifag,Ressursbiologi,0.0,0.0,39714000.0,63721000.0,Nils Øien
111709,De nasjonale forskningsetiske komiteer - avsluttes,,,,,,Andre,Ingen søknadstype,Ingen søknadstypevariant,1996,2012,Avsluttet,1996,2014,KVINNE,Organisasjon,DE NASJONALE FORSKNINGSETISKE KOMITEENE,,999148603,930,19,Øvrige,Øvrige andre,Oslo,0301,Oslo,03,Oslo og Akershus,7,Felleskostnader,20,Sekretariater - utgår f.o.m. 2019,Forskningsetisk arbeid,ETIKK,Humaniora,Filosofiske fag,Etikk,0.0,0.0,20505000.0,128350080.0,Torunn Ellefsen
117671,Grunnbevilgning - ISF,,1996-06-01 00:00:00,,,,Institusjonsstøtte,Grunnbevilgninger,Grunnbevilgninger - Ingen søknadstypevariant,1997,2008,Avsluttet,1997,2022,KVINNE,Organisasjon,INSTITUTT FOR SAMFUNNSFORSKNING STI,ISF,974760991,702,19,Instituttsektor,Nasjonale samfunnsvitenskapelige institutter,Oslo,0301,Oslo,03,Oslo og Akershus,3,Infrastruktur og institusjonelle tiltak,9,Basisbevilgninger,Resultatbasert grunnbevilgning - Samf.vitensk.institutter,RBGRUNSAMF,Samfunnsvitenskap,Samfunnsvitenskap - tverrfaglig,Tverr/flerfaglig innen samfunnsvitenskap,0.0,0.0,20062000.0,236545000.0,Tanja Storsul
117672,Grunnbevilgning - FAFO,,1996-03-29 00:00:00,,,,Institusjonsstøtte,Grunnbevilgninger,Grunnbevilgninger - Ingen søknadstypevariant,1997,2008,Avsluttet,1997,2022,KVINNE,Organisasjon,FORSKNINGSSTIFTELSEN FAFO,FAFO,969990695,702,27,Instituttsektor,Nasjonale samfunnsvitenskapelige institutter,Oslo,0301,Oslo,03,Oslo og Akershus,3,Infrastruktur og institusjonelle tiltak,9,Basisbevilgninger,Resultatbasert grunnbevilgning - Samf.vitensk.institutter,RBGRUNSAMF,Samfunnsvitenskap,Samfunnsvitenskap - tverrfaglig,Tverr/flerfaglig innen samfunnsvitenskap,0.0,0.0,23650000.0,320046000.0,Tone Fløtten
118181,Grunnbevilgning - PRIO,,1996-06-15 00:00:00,,,,Institusjonsstøtte,Grunnbevilgninger,Grunnbevilgninger - Ingen søknadstypevariant,1997,2008,Avsluttet,1997,2022,MANN,Organisasjon,INSTITUTT FOR FREDSFORSKNING STI,PRIO,847353732,702,18,Instituttsektor,Nasjonale samfunnsvitenskapelige institutter,Oslo,0301,Oslo,03,Oslo og Akershus,3,Infrastruktur og institusjonelle tiltak,9,Basisbevilgninger,Resultatbasert grunnbevilgning - Samf.vitensk.institutter,RBGRUNSAMF,Samfunnsvitenskap,Samfunnsvitenskap - tverrfaglig,Tverr/flerfaglig innen samfunnsvitenskap,0.0,0.0,22354000.0,327462000.0,Henrik Urdal
