Rammeprogram;Traktat kode (H2020);Programområde kode (H2020);Programområde (H2020);Program kode (H2020);Programkortnavn (H2020);Program (H2020);Programnivå 1 kortnavn (H2020);Programnivå 1 kode (H2020);Programnivå 1 (H2020);Prosjektnr;Prosjektkortnavn;Prosjektnavn;Utlysnings-id;Overordnet utlysnings-id;Topic kode;Topic;Søknadstype;Søknadstypenavn;Kontraktstatus;Kontrakt signeringsdato;Kontrakt startdato;Kontrakt sluttdato;Søknadsfrist;Søknadsdato;Varighet måneder;Vurderingspanel;Organisasjonsnummer;Organisasjonsnavn;Kortnavn;Organisasjon rolle;Organisasjon finansiell rolle;Deltakernr;FoU sektorkode;FoU sektor;FoU kategori;Kontraktspart 1;Kontraktspart 2;Adresse kommunenummer;Adresse kommune;Adresse fylkenummer;Adresse fylke;Adresse landsdel;Innvilget beløp organisasjon EUR
H2020;;EU.2.;Industrial Leadership;EU.2.1.;LEIT;Leadership in enabling and industrial technologies (LEIT);LEIT-ICT;EU.2.1.1.;Information and Communication Technologies;680478;MC-SUITE;ICT Powered Machining Software Suite;H2020-FoF-2015;H2020-FoF-2014-2015;FoF-08-2015;ICT-enabled modelling, simulation, analytics and forecasting technologies;RIA;Research and Innovation action;CLOSED;02.09.2015 00:00;01.10.2015 00:00;30.09.2018 00:00;04.02.2015 00:00;04.02.2015 00:00;36;;919303808;SINTEF AS;SINTEF;PARTICIPANT;BENEFICIARY;13;INS;Instituttsektor;Teknisk-industrielle institutter;706;22;5001;Trondheim;50;Trøndelag - Trööndelage;Trøndelag;196699.99999968
H2020;;EU.1.;Excellent Science;EU.1.4.;INFRA;Research infrastructures;;;;654190;EUNCL;European Nanomedicine Characterization Laboratory;H2020-INFRAIA-2014-2015;H2020-INFRAIA-2014-2015;INFRAIA-1-2014-2015;Integrating and opening existing national and regional research infrastructures of European interest;RIA;Research and Innovation action;CLOSED;26.06.2015 00:00;01.05.2015 00:00;31.12.2019 00:00;02.09.2014 00:00;02.09.2014 00:00;56;;919303808;SINTEF AS;SINTEF;PARTICIPANT;BENEFICIARY;10;INS;Instituttsektor;Teknisk-industrielle institutter;706;22;5001;Trondheim;50;Trøndelag - Trööndelage;Trøndelag;273436.24999992
H2020;;EU.3.;Societal Challenges;EU.3.1.;HEALTH;Health, demographic change and wellbeing;;;;689043;selfBACK;A decision support system for self-management of low back pain;H2020-PHC-2015-single-stage;H2020-PHC-2014-2015;PHC-28-2015;Self management of health and disease and decision support systems based on predictive computer modelling used by the patient him or herself;RIA;Research and Innovation action;CLOSED;11.11.2015 00:00;01.01.2016 00:00;31.03.2021 00:00;21.04.2015 00:00;21.04.2015 00:00;63;Information and Communication Technology (ICT);974767880;NORGES TEKNISK-NATURVITENSKAPELIGE UNIVERSITET NTNU;NTNU;COORDINATOR;BENEFICIARY;1;UoH;UoH-sektor;Universiteter;104;0;5001;Trondheim;50;Trøndelag - Trööndelage;Trøndelag;1904282.95999977
H2020;;EU.1.;Excellent Science;EU.1.1.;ERC;European Research Council;;;;818420;OPENFLUX;Societal openness, normative flux, and the social modification of heritability;ERC-2018-COG;ERC-2018-COG;ERC-2018-COG;ERC Consolidator Grant;ERC-COG;Consolidator Grant;SIGNED;27.02.2019 00:00;01.07.2019 00:00;31.12.2024 00:00;15.02.2018 00:00;15.02.2018 00:00;66;;971035854;UNIVERSITETET I OSLO;UIO;COORDINATOR;BENEFICIARY;1;UoH;UoH-sektor;Universiteter;102;0;301;Oslo;3;Oslo;Oslo og Viken;1987230.99999996
H2020;;EU.3.;Societal Challenges;EU.3.6.;SOCIETY;Europe in a changing world - inclusive, innovative and reflective Societies;;;;649395;NEGOTIATE;Negotiating early job-insecurity and labour market exclusion in Europe;H2020-YOUNG-SOCIETY-2014;H2020-YOUNG-2014-2015;YOUNG-1-2014;Early job insecurity and labour market exclusion;RIA;Research and Innovation action;CLOSED;27.01.2015 00:00;01.03.2015 00:00;28.02.2018 00:00;03.06.2014 00:00;03.06.2014 00:00;36;Finance;997058925;OSLOMET - STORBYUNIVERSITETET;OSLOMET;COORDINATOR;BENEFICIARY;1;UoH;UoH-sektor;Universiteter;109;0;301;Oslo;3;Oslo;Oslo og Viken;878670
H2020;;EU.1.;Excellent Science;EU.1.3.;MSCA;Marie Sklodowska-Curie actions;;;;778307;HYDRIDE4MOBILITY;Hydrogen fuelled utility vehicles and their support systems utilising metal hydrides;H2020-MSCA-RISE-2017;H2020-MSCA-RISE-2017;MSCA-RISE-2017;Research and Innovation Staff Exchange;MSCA-RISE;RISE;SIGNED;20.11.2017 00:00;01.12.2017 00:00;30.11.2022 00:00;05.04.2017 00:00;05.04.2017 00:00;60;Engineering and technology;989001841;HYSTORSYS AS;ukjent;PARTICIPANT;BENEFICIARY;3;NÆR;Næringsliv;Næringsliv;601;0;3030;Lillestrøm;30;Viken;Oslo og Viken;18000
H2020;;EU.3.;Societal Challenges;EU.3.2.;FOOD;Food security, sustainable agriculture and forestry, marine and maritime and inland water research;;;;774233;SiEUGreen;Sino-European innovative green and smart cities;H2020-SFS-2017-1;H2020-SFS-2016-2017;SFS-48-2017;Resource-efficient urban agriculture for multiple benefits – contribution to the EU-China Urbanisation Partnership;IA;Innovation action;SIGNED;03.10.2017 00:00;01.01.2018 00:00;31.12.2021 00:00;14.02.2017 00:00;14.02.2017 00:00;48;Food and beverages | Public sector innovation;969159570;NORGES MILJØ- OG BIOVITENSKAPELIGE UNIVERSITET (NMBU);NMBU;COORDINATOR;BENEFICIARY;1;UoH;UoH-sektor;Universiteter;105;0;3021;Ås;30;Viken;Oslo og Viken;2629759.99999968
H2020;;EU.2.;Industrial Leadership;EU.2.1.;LEIT;Leadership in enabling and industrial technologies (LEIT);LEIT-ICT;EU.2.1.1.;Information and Communication Technologies;815178;5GENESIS;5th Generation End-to-end Network, Experimentation, System Integration, and Showcasing;H2020-ICT-2018-1;H2020-ICT-2018-20;ICT-17-2018;5G End to End Facility;RIA;Research and Innovation action;SIGNED;28.06.2018 00:00;01.07.2018 00:00;31.12.2021 00:00;31.01.2018 00:00;31.01.2018 00:00;42;Construction and transport networks | Engineering and technology | Information and Communication Technology (ICT);920203612;SIMULA METROPOLITAN CENTER FOR DIGITAL ENGINEERING AS;SIMULA;PARTICIPANT;BENEFICIARY;30;INS;Instituttsektor;Øvrige forskningsinstitutter;707;3;301;Oslo;3;Oslo;Oslo og Viken;464999.99999964
H2020;;EU.3.;Societal Challenges;EU.3.1.;HEALTH;Health, demographic change and wellbeing;;;;634570;FORECEE;Female cancer prediction using cervical omics to individualise screening and prevention;H2020-PHC-2014-two-stage;H2020-PHC-2014-2015;PHC-05-2014;Health promotion and disease prevention: translating 'omics' into stratified approaches;RIA;Research and Innovation action;CLOSED;27.03.2015 00:00;01.09.2015 00:00;29.02.2020 00:00;19.08.2014 00:00;19.08.2014 00:00;54;Health;983974724;HELSE BERGEN HF;HELSEBERGEN;PARTICIPANT;BENEFICIARY;4;HEL;Helseforetak;Helse Vest RHF;502;10;4601;Bergen;46;Vestland;Vestlandet;269697.49999956
H2020;;EU.3.;Societal Challenges;EU.3.4.;TPT;Smart, green and integrated transport;;;;955390;ULTRHAS;ULtrafine particles from TRansportation – Health Assessment of Sources;H2020-MG-2020-TwoStages;H2020-MG-2018-2019-2020;LC-MG-1-14-2020;Understanding and mitigating the effects on public health of emerging non-regulated nanoparticle emissions issues and noise;RIA;Research and Innovation action;SIGNED;26.03.2021 00:00;01.09.2021 00:00;31.08.2025 00:00;08.09.2020 00:00;08.09.2020 00:00;48;;983744516;FOLKEHELSEINSTITUTTET;FHI;COORDINATOR;BENEFICIARY;1;INS;Instituttsektor;Øvrige forskningsinstitutter;707;32;301;Oslo;3;Oslo;Oslo og Viken;761074.99999968
